year;abbr;canton;age;sex;population
1991;ZH;Zurich;62;2;6256
1991;ZH;Zurich;63;2;6060
1991;ZH;Zurich;64;2;5880
1991;ZH;Zurich;65;2;5905
1991;ZH;Zurich;66;2;5841
1991;ZH;Zurich;67;2;5534
1991;ZH;Zurich;68;2;5443
1991;ZH;Zurich;69;2;5365
1991;ZH;Zurich;70;2;5336
1991;ZH;Zurich;71;2;5194
1991;ZH;Zurich;72;2;4308
1991;ZH;Zurich;73;2;4069
1991;ZH;Zurich;74;2;3961
1991;ZH;Zurich;75;2;3855
1991;ZH;Zurich;76;2;3814
1991;ZH;Zurich;77;2;4183
1991;ZH;Zurich;78;2;4235
1991;ZH;Zurich;79;2;4093
1991;ZH;Zurich;80;2;3907
1991;ZH;Zurich;81;2;3831
1991;ZH;Zurich;82;2;3611
1991;ZH;Zurich;83;2;3340
1991;ZH;Zurich;84;2;3032
1991;ZH;Zurich;85;2;2515
1991;ZH;Zurich;86;2;2271
1991;ZH;Zurich;87;2;1972
1991;ZH;Zurich;88;2;1594
1991;ZH;Zurich;89;2;1428
1991;ZH;Zurich;90;2;1097
1991;ZH;Zurich;91;2;835
1991;ZH;Zurich;92;2;624
1991;ZH;Zurich;93;2;458
1991;ZH;Zurich;94;2;351
1991;ZH;Zurich;95;2;232
1991;ZH;Zurich;96;2;156
1991;ZH;Zurich;97;2;114
1991;ZH;Zurich;98;2;76
1991;ZH;Zurich;99+;2;86
1991;BE;Bern;0;1;5832
1991;BE;Bern;1;1;5733
1991;BE;Bern;2;1;5551
1991;BE;Bern;3;1;5708
1991;BE;Bern;4;1;5468
1991;BE;Bern;5;1;5461
1991;BE;Bern;6;1;5364
1991;BE;Bern;7;1;5508
1991;BE;Bern;8;1;5408
1991;BE;Bern;9;1;5544
1991;BE;Bern;10;1;5602
1991;BE;Bern;11;1;5422
1991;BE;Bern;12;1;5292
1991;BE;Bern;13;1;5356
1991;BE;Bern;14;1;5366
1991;BE;Bern;15;1;5365
1991;BE;Bern;16;1;5459
1991;BE;Bern;17;1;5654
1991;BE;Bern;18;1;5976
1991;BE;Bern;19;1;6264
1991;BE;Bern;20;1;6591
1991;BE;Bern;21;1;6693
1991;BE;Bern;22;1;6846
1991;BE;Bern;23;1;7057
1991;BE;Bern;24;1;7184
1991;BE;Bern;25;1;7369
1991;BE;Bern;26;1;7687
1991;BE;Bern;27;1;7856
1991;BE;Bern;28;1;7917
1991;BE;Bern;29;1;7852
1991;BE;Bern;30;1;7635
1991;BE;Bern;31;1;7673
1991;BE;Bern;32;1;7471
1991;BE;Bern;33;1;7574
1991;BE;Bern;34;1;7463
1991;BE;Bern;35;1;7571
1991;BE;Bern;36;1;7323
1991;BE;Bern;37;1;6995
1991;BE;Bern;38;1;6938
1991;BE;Bern;39;1;7012
1991;BE;Bern;40;1;6813
1991;BE;Bern;41;1;7272
1991;BE;Bern;42;1;7081
1991;BE;Bern;43;1;7345
1991;BE;Bern;44;1;7300
1991;BE;Bern;45;1;7271
1991;BE;Bern;46;1;7046
1991;BE;Bern;47;1;6910
1991;BE;Bern;48;1;6354
1991;BE;Bern;49;1;6401
1991;BE;Bern;50;1;5701
1991;BE;Bern;51;1;5245
1991;BE;Bern;52;1;5149
